player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,1553.0,2062.0,75.3,30386.0,12434.0,676.0,734.0,92.1,607.0,762.0,79.7,244.0,495.0,49.3,4,7.2,6.1,-3.2,64.0,202.0,57.0,18.0,205.0
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,22.0,34.0,64.7,287.0,51.0,14.0,19.0,73.7,7.0,12.0,58.3,0.0,0.0,0.0,1,0.1,0.1,0.9,1.0,4.0,1.0,0.0,3.0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,38.0,66.0,57.6,502.0,124.0,23.0,32.0,71.9,12.0,18.0,66.7,1.0,9.0,11.1,0,0.1,0.3,-0.1,1.0,1.0,0.0,0.0,3.0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,193.0,268.0,72.0,3014.0,731.0,111.0,133.0,83.5,66.0,90.0,73.3,11.0,27.0,40.7,2,2.0,1.4,0.0,14.0,10.0,11.0,2.0,25.0
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,196.0,305.0,64.3,3211.0,831.0,97.0,134.0,72.4,69.0,100.0,69.0,20.0,41.0,48.8,0,0.6,0.7,-0.6,14.0,14.0,7.0,3.0,33.0
Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,228.0,358.0,63.7,3856.0,1464.0,118.0,151.0,78.1,64.0,92.0,69.6,35.0,83.0,42.2,1,2.2,2.5,-1.2,24.0,35.0,15.0,3.0,43.0
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,985.0,1142.0,86.3,21428.0,13147.0,238.0,239.0,99.6,597.0,607.0,98.4,147.0,284.0,51.8,0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0
Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,60.0,98.0,61.2,900.0,309.0,39.0,52.0,75.0,12.0,22.0,54.5,5.0,8.0,62.5,0,0.4,0.2,-0.4,2.0,5.0,2.0,1.0,7.0
Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,589.0,743.0,79.3,8314.0,2195.0,321.0,375.0,85.6,206.0,264.0,78.0,20.0,42.0,47.6,1,1.2,1.4,-0.2,20.0,36.0,20.0,8.0,52.0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,315.0,399.0,78.9,4701.0,1257.0,183.0,202.0,90.6,99.0,124.0,79.8,23.0,40.0,57.5,1,1.2,0.9,-0.2,13.0,29.0,10.0,0.0,50.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,668.0,801.0,83.4,9023.0,1846.0,411.0,456.0,90.1,208.0,250.0,83.2,21.0,38.0,55.3,1,2.6,2.4,-1.6,24.0,38.0,21.0,3.0,78.0
Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,351.0,478.0,73.4,4689.0,1071.0,224.0,282.0,79.4,85.0,120.0,70.8,17.0,20.0,85.0,1,2.7,1.8,-1.7,27.0,14.0,12.0,4.0,32.0
Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,180.0,214.0,84.1,2690.0,803.0,105.0,112.0,93.8,57.0,67.0,85.1,8.0,21.0,38.1,0,0.5,0.3,-0.5,5.0,10.0,3.0,1.0,14.0
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,389.0,465.0,83.7,6578.0,2133.0,180.0,208.0,86.5,170.0,193.0,88.1,31.0,42.0,73.8,0,0.1,0.2,-0.1,2.0,25.0,5.0,2.0,29.0
Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,289.0,320.0,90.3,4841.0,1149.0,142.0,154.0,92.2,110.0,116.0,94.8,30.0,36.0,83.3,0,0.3,0.3,-0.3,4.0,26.0,2.0,0.0,31.0
Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,1033.0,1207.0,85.6,17083.0,5225.0,518.0,573.0,90.4,401.0,445.0,90.1,87.0,132.0,65.9,1,0.6,0.8,0.4,12.0,87.0,6.0,1.0,91.0
Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,754.0,1017.0,74.1,14087.0,5016.0,296.0,339.0,87.3,356.0,438.0,81.3,86.0,197.0,43.7,0,0.6,0.4,-0.6,8.0,64.0,5.0,3.0,63.0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,380.0,455.0,83.5,5179.0,1437.0,241.0,263.0,91.6,117.0,134.0,87.3,8.0,27.0,29.6,1,1.5,1.8,-0.5,19.0,19.0,15.0,3.0,34.0
Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,1011.0,1258.0,80.4,13977.0,2992.0,615.0,679.0,90.6,272.0,328.0,82.9,58.0,145.0,40.0,8,6.4,6.3,1.6,67.0,43.0,41.0,4.0,103.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,572.0,710.0,80.6,11772.0,4181.0,157.0,181.0,86.7,346.0,378.0,91.5,63.0,128.0,49.2,0,0.1,0.4,-0.1,3.0,38.0,3.0,0.0,55.0
Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,159.0,193.0,82.4,2519.0,738.0,83.0,95.0,87.4,60.0,75.0,80.0,12.0,16.0,75.0,0,0.0,0.2,0.0,1.0,17.0,3.0,1.0,27.0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,59.0,76.0,77.6,1098.0,274.0,24.0,35.0,68.6,25.0,27.0,92.6,8.0,9.0,88.9,0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0
Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,167.0,257.0,65.0,2726.0,899.0,86.0,121.0,71.1,64.0,98.0,65.3,12.0,24.0,50.0,1,0.9,0.7,0.1,12.0,17.0,6.0,2.0,30.0
Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,120.0,164.0,73.2,1635.0,456.0,69.0,83.0,83.1,32.0,46.0,69.6,7.0,14.0,50.0,1,0.3,0.3,0.7,4.0,11.0,3.0,0.0,21.0
Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,76.0,113.0,67.3,1118.0,296.0,42.0,55.0,76.4,24.0,38.0,63.2,6.0,8.0,75.0,0,0.4,0.3,-0.4,3.0,8.0,4.0,2.0,13.0
Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,22.0,25.0,88.0,449.0,101.0,6.0,7.0,85.7,14.0,14.0,100.0,2.0,2.0,100.0,0,0.0,0.1,0.0,0.0,3.0,0.0,0.0,2.0
Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,47.0,54.0,87.0,858.0,247.0,18.0,20.0,90.0,25.0,29.0,86.2,4.0,4.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,396.0,500.0,79.2,6229.0,1153.0,216.0,265.0,81.5,141.0,161.0,87.6,24.0,35.0,68.6,1,1.4,1.3,-0.4,16.0,28.0,9.0,0.0,49.0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,268.0,350.0,76.6,4336.0,1782.0,142.0,159.0,89.3,100.0,127.0,78.7,22.0,45.0,48.9,1,0.6,0.7,0.4,5.0,26.0,4.0,2.0,28.0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,217.0,273.0,79.5,3776.0,1390.0,83.0,99.0,83.8,114.0,132.0,86.4,15.0,33.0,45.5,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,17.0
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,492.0,602.0,81.7,8248.0,2497.0,220.0,257.0,85.6,222.0,268.0,82.8,35.0,54.0,64.8,2,1.2,1.2,0.8,7.0,26.0,8.0,2.0,35.0
