player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Remi Oudin,FRA,"MF,FW",Lecce,Serie A,26,1996,20.2,3,0,0,16,11,3,156,20,14,0.0,0.0,0,96.0,12.0,12.0,50.0
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,35,1988,33.2,3,0,0,1,7,0,0,3,1,0.0,1.0,0,22.0,12.0,2.0,85.7
Azzedine Ounahi,MAR,MF,Marseille,Ligue 1,23,2000,13.4,3,0,0,15,24,1,22,11,11,0.0,0.0,0,66.0,3.0,11.0,21.4
Adam Ounas,ALG,FW,Lille,Ligue 1,26,1996,4.6,0,0,0,3,12,1,22,6,3,1.0,0.0,0,27.0,6.0,6.0,50.0
Patrick Ouotro,CIV,FW,Strasbourg,Ligue 1,17,2005,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Aiham Ousou,SYR,DF,Cádiz,La Liga,23,2000,4.8,0,0,0,4,6,0,0,7,5,0.0,0.0,0,26.0,8.0,7.0,53.3
Jesús Owono,EQG,GK,Alavés,La Liga,22,2001,4.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,11.0,2.0,0.0,100.0
Mikel Oyarzabal,ESP,"FW,MF",Real Sociedad,La Liga,26,1997,24.0,3,0,0,20,20,19,10,4,18,0.0,0.0,0,69.0,26.0,51.0,33.8
Anthony Oyono,GAB,DF,Frosinone,Serie A,22,2001,13.3,4,0,0,13,11,0,11,9,26,0.0,0.0,0,73.0,13.0,9.0,59.1
Salih Özcan,TUR,MF,Dortmund,Bundesliga,25,1998,13.2,3,0,0,22,22,2,1,17,12,0.0,0.0,0,86.0,16.0,15.0,51.6
Cenk Özkacar,TUR,DF,Valencia,La Liga,22,2000,17.8,3,0,0,13,8,1,6,18,15,0.0,1.0,1,70.0,31.0,31.0,50.0
David Ozoh,ENG,"MF,DF",Crystal Palace,Premier League,18,2005,1.7,1,0,0,2,0,0,0,0,6,0.0,0.0,0,8.0,3.0,5.0,37.5
Jon Pacheco,ESP,DF,Real Sociedad,La Liga,22,2001,17.0,8,0,0,29,1,1,1,10,15,0.0,0.0,0,49.0,57.0,33.0,63.3
Willian Pacho,ECU,DF,Eint Frankfurt,Bundesliga,21,2001,33.0,7,0,0,22,14,1,7,47,37,0.0,1.0,0,216.0,54.0,48.0,52.9
Gonçalo Paciência,POR,"FW,MF",Bochum,Bundesliga,28,1994,7.2,3,0,0,9,22,2,10,0,4,0.0,0.0,0,29.0,20.0,34.0,37.0
Simone Pafundi,ITA,MF,Udinese,Serie A,17,2006,0.1,0,0,0,1,0,0,1,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0
Riccardo Pagano,ITA,"MF,DF",Roma,Serie A,18,2004,0.6,0,0,0,3,0,0,1,0,2,0.0,0.0,0,3.0,0.0,1.0,0.0
