player,nationality,position,team,comp_level,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,17.0,3.87,6.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,50.0,2.3,30.0,0.0,5.0,7.0,5.0,3.0,4.0,0.18,1.0,0.0,2.0,0.0,1.0,0.0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,8.0,0.9,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,3.0,0.47,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,15.0,1.35,9.0,1.0,1.0,0.0,2.0,2.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,91.0,6.23,34.0,43.0,6.0,1.0,4.0,3.0,11.0,0.75,6.0,4.0,1.0,0.0,0.0,0.0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
