player,nationality,position,team,comp_level,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Sergio Ramos,ESP,DF,Sevilla,La Liga,37,1986,28.0,1870.0,289.0,1000.0,801.0,85.0,29.0,1870.0,11.0,6.0,54.5,3.0,27.3,994.0,5262.0,2701.0,11.0,10.0,3.0,13.0,6.0,1192.0,5.0
Aaron Ramsdale,ENG,GK,Arsenal,Premier League,25,1998,6.0,197.0,140.0,186.0,11.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,137.0,697.0,399.0,0.0,0.0,0.0,1.0,0.0,104.0,0.0
Aaron Ramsey,ENG,"MF,FW",Burnley,Premier League,20,2003,5.9,228.0,15.0,63.0,102.0,65.0,9.0,228.0,10.0,3.0,30.0,6.0,60.0,117.0,514.0,168.0,8.0,5.0,4.0,11.0,10.0,142.0,17.0
Jacob Ramsey,ENG,"FW,MF",Aston Villa,Premier League,22,2001,9.5,433.0,10.0,69.0,178.0,195.0,47.0,433.0,20.0,8.0,40.0,11.0,55.0,271.0,1777.0,836.0,33.0,19.0,11.0,18.0,21.0,314.0,69.0
Luca Ranieri,ITA,DF,Fiorentina,Serie A,24,1999,22.9,1538.0,120.0,683.0,775.0,89.0,16.0,1538.0,13.0,4.0,30.8,8.0,61.5,937.0,4601.0,2808.0,17.0,22.0,0.0,13.0,0.0,1013.0,5.0
Filippo Ranocchia,ITA,"MF,DF",Empoli,Serie A,22,2001,5.3,284.0,19.0,69.0,165.0,51.0,4.0,284.0,10.0,6.0,60.0,2.0,20.0,158.0,899.0,359.0,5.0,4.0,0.0,12.0,8.0,174.0,11.0
Grant Ranos,ARM,"MF,FW",Gladbach,Bundesliga,20,2003,0.5,36.0,0.0,1.0,15.0,20.0,4.0,36.0,3.0,1.0,33.3,2.0,66.7,20.0,82.0,14.0,0.0,1.0,0.0,2.0,5.0,23.0,4.0
Raphinha,BRA,"FW,MF",Barcelona,La Liga,26,1996,15.2,894.0,11.0,80.0,338.0,484.0,81.0,893.0,46.0,24.0,52.2,19.0,41.3,495.0,2884.0,1418.0,49.0,22.0,23.0,41.0,8.0,620.0,164.0
Nicolai Rapp,GER,DF,Werder Bremen,Bundesliga,26,1996,0.8,56.0,7.0,31.0,24.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,29.0,144.0,64.0,1.0,0.0,0.0,1.0,1.0,24.0,0.0
Elba Rashani,KVX,"MF,FW",Clermont Foot,Ligue 1,30,1993,13.1,550.0,17.0,93.0,238.0,227.0,42.0,550.0,46.0,17.0,37.0,26.0,56.5,403.0,2377.0,803.0,19.0,16.0,6.0,22.0,22.0,367.0,102.0
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,25,1997,25.2,1024.0,24.0,124.0,345.0,570.0,130.0,1022.0,109.0,48.0,44.0,53.0,48.6,689.0,4980.0,2388.0,95.0,51.0,64.0,59.0,38.0,798.0,184.0
Giacomo Raspadori,ITA,"FW,MF",Napoli,Serie A,23,2000,17.6,886.0,5.0,69.0,373.0,449.0,90.0,885.0,30.0,14.0,46.7,14.0,46.7,540.0,2852.0,895.0,29.0,18.0,12.0,33.0,18.0,689.0,139.0
Andrei Ratiu,ROU,"DF,MF",Rayo Vallecano,La Liga,25,1998,7.0,392.0,22.0,121.0,157.0,116.0,18.0,392.0,29.0,13.0,44.8,14.0,48.3,178.0,1299.0,729.0,28.0,19.0,8.0,14.0,7.0,219.0,25.0
Raúl,ESP,FW,Osasuna,La Liga,22,2000,15.1,455.0,12.0,35.0,199.0,224.0,64.0,455.0,21.0,6.0,28.6,13.0,61.9,221.0,899.0,381.0,16.0,11.0,7.0,36.0,16.0,339.0,68.0
David Raum,GER,DF,RB Leipzig,Bundesliga,25,1998,30.4,2442.0,88.0,653.0,1002.0,807.0,45.0,2442.0,32.0,18.0,56.3,13.0,40.6,1223.0,5411.0,2900.0,77.0,44.0,15.0,33.0,15.0,1474.0,246.0
Federico Ravaglia,ITA,GK,Bologna,Serie A,23,1999,5.9,218.0,195.0,214.0,4.0,0.0,0.0,218.0,1.0,1.0,100.0,0.0,0.0,132.0,579.0,320.0,0.0,0.0,0.0,1.0,0.0,123.0,0.0
David Raya,ESP,GK,Arsenal,Premier League,27,1995,32.0,1099.0,764.0,1060.0,39.0,0.0,0.0,1099.0,0.0,0.0,0.0,0.0,0.0,728.0,3442.0,1992.0,0.0,0.0,0.0,1.0,0.0,637.0,0.0
Tim Ream,USA,DF,Fulham,Premier League,35,1987,16.7,1206.0,160.0,585.0,600.0,30.0,7.0,1206.0,7.0,6.0,85.7,1.0,14.3,739.0,4157.0,2723.0,11.0,6.0,2.0,6.0,3.0,811.0,3.0
Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,24,1998,8.0,343.0,6.0,46.0,102.0,198.0,36.0,343.0,28.0,10.0,35.7,16.0,57.1,180.0,1419.0,763.0,34.0,15.0,18.0,28.0,12.0,196.0,78.0
Nathan Redmond,ENG,"FW,MF",Burnley,Premier League,29,1994,1.6,88.0,3.0,10.0,31.0,50.0,9.0,88.0,6.0,4.0,66.7,2.0,33.3,57.0,435.0,291.0,7.0,5.0,1.0,1.0,2.0,67.0,22.0
Harrison Reed,ENG,MF,Fulham,Premier League,28,1995,14.7,883.0,34.0,214.0,488.0,182.0,10.0,883.0,10.0,5.0,50.0,5.0,50.0,449.0,1715.0,590.0,10.0,10.0,1.0,19.0,13.0,603.0,40.0
Sergio Reguilón,ESP,DF,Manchester Utd,Premier League,26,1996,4.6,378.0,8.0,70.0,155.0,155.0,9.0,378.0,11.0,3.0,27.3,4.0,36.4,184.0,847.0,441.0,11.0,4.0,2.0,8.0,1.0,217.0,38.0
Sergio Reguilón,ESP,DF,Brentford,Premier League,26,1996,12.4,708.0,55.0,242.0,253.0,228.0,22.0,708.0,26.0,13.0,50.0,11.0,42.3,318.0,1988.0,1160.0,34.0,25.0,2.0,22.0,5.0,332.0,40.0
Bobby Reid,JAM,FW,Fulham,Premier League,30,1993,15.8,671.0,23.0,98.0,301.0,277.0,55.0,671.0,25.0,8.0,32.0,12.0,48.0,389.0,1875.0,900.0,35.0,18.0,11.0,33.0,10.0,475.0,95.0
Tijjani Reijnders,NED,MF,Milan,Serie A,25,1998,31.3,2022.0,54.0,323.0,1181.0,533.0,62.0,2022.0,55.0,35.0,63.6,17.0,30.9,1367.0,9122.0,4195.0,88.0,81.0,18.0,40.0,38.0,1571.0,90.0
Pepe Reina,ESP,GK,Villarreal,La Liga,40,1982,2.0,73.0,69.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,47.0,274.0,156.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
Reinier,BRA,"MF,FW",Frosinone,Serie A,21,2002,11.8,528.0,10.0,67.0,256.0,211.0,33.0,528.0,18.0,9.0,50.0,8.0,44.4,269.0,1249.0,524.0,10.0,7.0,1.0,22.0,15.0,348.0,42.0
Rocco Reitz,GER,MF,Gladbach,Bundesliga,21,2002,23.7,1377.0,54.0,380.0,758.0,259.0,46.0,1377.0,52.0,20.0,38.5,25.0,48.1,788.0,3375.0,1648.0,41.0,29.0,12.0,40.0,30.0,870.0,58.0
Álex Remiro,ESP,GK,Real Sociedad,La Liga,28,1995,36.4,1353.0,1103.0,1338.0,15.0,0.0,0.0,1353.0,0.0,0.0,0.0,0.0,0.0,783.0,3944.0,1947.0,0.0,0.0,0.0,2.0,0.0,726.0,0.0
Guillaume Restes,FRA,GK,Toulouse,Ligue 1,18,2005,34.0,990.0,813.0,982.0,8.0,0.0,0.0,990.0,1.0,1.0,100.0,0.0,0.0,594.0,3013.0,1714.0,0.0,0.0,0.0,1.0,0.0,442.0,0.0
Mateo Retegui,ITA,FW,Genoa,Serie A,24,1999,24.6,685.0,33.0,77.0,307.0,308.0,92.0,684.0,36.0,14.0,38.9,18.0,50.0,393.0,1613.0,386.0,18.0,12.0,8.0,81.0,40.0,503.0,112.0
Marco Reus,GER,"MF,FW",Dortmund,Bundesliga,34,1989,17.8,907.0,31.0,150.0,404.0,363.0,77.0,907.0,21.0,8.0,38.1,10.0,47.6,497.0,2587.0,1275.0,31.0,33.0,7.0,42.0,15.0,633.0,89.0
Elvis Rexhbeçaj,GER,MF,Augsburg,Bundesliga,25,1997,22.1,936.0,43.0,216.0,513.0,222.0,22.0,935.0,23.0,8.0,34.8,14.0,60.9,462.0,2215.0,910.0,15.0,16.0,3.0,38.0,18.0,492.0,51.0
Gio Reyna,USA,"FW,MF",Nott'ham Forest,Premier League,20,2002,2.6,173.0,2.0,18.0,71.0,84.0,12.0,173.0,7.0,3.0,42.9,4.0,57.1,83.0,327.0,101.0,3.0,2.0,2.0,8.0,4.0,121.0,14.0
Gio Reyna,USA,"MF,FW",Dortmund,Bundesliga,20,2002,3.1,239.0,9.0,30.0,110.0,103.0,15.0,239.0,8.0,5.0,62.5,3.0,37.5,144.0,711.0,312.0,8.0,6.0,2.0,8.0,7.0,176.0,19.0
Chadi Riad,MAR,DF,Betis,La Liga,20,2003,24.0,1426.0,194.0,871.0,532.0,27.0,15.0,1426.0,0.0,0.0,0.0,0.0,0.0,831.0,3955.0,1926.0,4.0,7.0,0.0,9.0,2.0,937.0,1.0
Alexsandro Ribeiro,BRA,DF,Lille,Ligue 1,23,1999,24.7,2069.0,213.0,893.0,1121.0,64.0,25.0,2069.0,10.0,4.0,40.0,3.0,30.0,1584.0,7890.0,3888.0,15.0,10.0,2.0,15.0,7.0,1495.0,7.0
