player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,743.0,675.0,65.0,2.0,1.0,0.0,47,57.0,1.0,0.0,0.0,0.0,589.0,3.0,17.0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,399.0,375.0,24.0,12.0,0.0,4.0,18,2.0,7.0,0.0,5.0,0.0,315.0,0.0,18.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,801.0,788.0,10.0,2.0,5.0,0.0,24,7.0,1.0,0.0,0.0,0.0,668.0,3.0,16.0
Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,478.0,472.0,6.0,2.0,1.0,0.0,21,3.0,1.0,1.0,0.0,0.0,351.0,0.0,19.0
Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,214.0,171.0,43.0,10.0,0.0,3.0,15,27.0,6.0,2.0,2.0,0.0,180.0,0.0,5.0
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,465.0,400.0,65.0,5.0,0.0,1.0,5,60.0,0.0,0.0,0.0,0.0,389.0,0.0,10.0
Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,320.0,315.0,3.0,1.0,0.0,4.0,1,1.0,1.0,1.0,0.0,0.0,289.0,2.0,3.0
Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,1207.0,1184.0,18.0,15.0,2.0,9.0,4,3.0,0.0,0.0,0.0,0.0,1033.0,5.0,14.0
Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,1017.0,878.0,138.0,35.0,0.0,10.0,25,101.0,0.0,0.0,0.0,0.0,754.0,1.0,17.0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,455.0,379.0,73.0,8.0,4.0,1.0,22,58.0,7.0,1.0,5.0,1.0,380.0,3.0,10.0
Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,1258.0,1069.0,185.0,25.0,9.0,1.0,137,7.0,129.0,44.0,36.0,2.0,1011.0,4.0,27.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,710.0,674.0,32.0,30.0,2.0,8.0,1,1.0,0.0,0.0,0.0,0.0,572.0,4.0,7.0
Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,193.0,190.0,2.0,2.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,159.0,1.0,2.0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,76.0,75.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0
Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,257.0,255.0,2.0,1.0,2.0,0.0,14,1.0,0.0,0.0,0.0,0.0,167.0,0.0,7.0
Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,164.0,162.0,2.0,0.0,2.0,0.0,4,0.0,0.0,0.0,0.0,0.0,120.0,0.0,5.0
Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,113.0,110.0,2.0,1.0,2.0,0.0,7,1.0,0.0,0.0,0.0,0.0,76.0,1.0,4.0
Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,25.0,25.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0
Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,54.0,43.0,11.0,3.0,0.0,0.0,1,8.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0
Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,500.0,445.0,51.0,2.0,7.0,1.0,8,0.0,3.0,0.0,0.0,0.0,396.0,4.0,19.0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,350.0,266.0,84.0,8.0,1.0,0.0,14,76.0,0.0,0.0,0.0,0.0,268.0,0.0,15.0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,273.0,267.0,6.0,4.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,217.0,0.0,3.0
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,602.0,517.0,84.0,13.0,0.0,1.0,16,71.0,0.0,0.0,0.0,0.0,492.0,1.0,10.0
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,798.0,612.0,181.0,80.0,2.0,3.0,126,9.0,88.0,32.0,44.0,0.0,567.0,5.0,11.0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,100.0,98.0,2.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,92.0,0.0,2.0
Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,664.0,642.0,21.0,10.0,0.0,8.0,7,11.0,0.0,0.0,0.0,0.0,578.0,1.0,10.0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,2209.0,2073.0,121.0,110.0,7.0,31.0,31,8.0,0.0,0.0,0.0,0.0,1731.0,15.0,22.0
Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,460.0,431.0,29.0,3.0,4.0,1.0,19,25.0,1.0,0.0,0.0,0.0,370.0,0.0,9.0
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,1336.0,1299.0,29.0,5.0,5.0,6.0,57,18.0,6.0,1.0,4.0,0.0,1012.0,8.0,63.0
Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,1919.0,1855.0,58.0,57.0,5.0,19.0,19,1.0,0.0,0.0,0.0,0.0,1598.0,6.0,34.0
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,59.0,54.0,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,1494.0,1458.0,34.0,32.0,5.0,4.0,14,2.0,0.0,0.0,0.0,0.0,1346.0,2.0,10.0
Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,775.0,745.0,29.0,24.0,1.0,4.0,0,1.0,0.0,0.0,0.0,0.0,622.0,1.0,11.0
Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,715.0,610.0,101.0,12.0,0.0,4.0,53,87.0,2.0,1.0,0.0,0.0,546.0,4.0,11.0
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,103.0,96.0,7.0,1.0,0.0,2.0,8,6.0,0.0,0.0,0.0,0.0,68.0,0.0,5.0
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,45.0,42.0,3.0,2.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,30.0,0.0,3.0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,2624.0,2511.0,109.0,51.0,6.0,9.0,14,29.0,0.0,0.0,0.0,0.0,2330.0,4.0,16.0
Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,308.0,288.0,18.0,1.0,3.0,4.0,27,11.0,0.0,0.0,0.0,0.0,180.0,2.0,22.0
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,595.0,570.0,22.0,7.0,3.0,1.0,16,15.0,0.0,0.0,0.0,0.0,468.0,3.0,23.0
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,454.0,343.0,108.0,1.0,1.0,1.0,55,106.0,0.0,0.0,0.0,0.0,274.0,3.0,21.0
Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,359.0,344.0,15.0,4.0,0.0,0.0,10,3.0,8.0,5.0,2.0,0.0,300.0,0.0,8.0
Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,23.0,23.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0
Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,142.0,138.0,4.0,2.0,0.0,2.0,6,1.0,1.0,1.0,0.0,0.0,114.0,0.0,2.0
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,321.0,256.0,62.0,7.0,0.0,0.0,7,55.0,0.0,0.0,0.0,0.0,254.0,3.0,7.0
Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,4.0,3.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,831.0,694.0,135.0,19.0,0.0,2.0,23,116.0,0.0,0.0,0.0,0.0,680.0,2.0,14.0
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,1641.0,1540.0,93.0,45.0,3.0,14.0,8,37.0,0.0,0.0,0.0,0.0,1458.0,8.0,6.0
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,438.0,406.0,29.0,13.0,0.0,2.0,7,0.0,6.0,3.0,0.0,0.0,349.0,3.0,8.0
Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,332.0,310.0,22.0,0.0,2.0,1.0,5,0.0,0.0,0.0,0.0,0.0,266.0,0.0,15.0
Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,6.0,6.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,867.0,555.0,307.0,88.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,562.0,5.0,0.0
Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,104.0,103.0,1.0,0.0,0.0,1.0,11,0.0,1.0,1.0,0.0,0.0,79.0,0.0,5.0
Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,29.6,1368.0,1033.0,332.0,20.0,1.0,6.0,110,311.0,0.0,0.0,0.0,0.0,1021.0,3.0,48.0
Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,82.0,75.0,7.0,0.0,1.0,0.0,4,1.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,2005,0.2,4.0,3.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,131.0,114.0,17.0,1.0,0.0,0.0,14,16.0,0.0,0.0,0.0,0.0,97.0,0.0,3.0
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,318.0,260.0,58.0,18.0,0.0,3.0,46,3.0,25.0,13.0,8.0,0.0,233.0,0.0,8.0
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,549.0,525.0,21.0,6.0,3.0,4.0,7,4.0,2.0,1.0,0.0,0.0,451.0,3.0,13.0
Marko Arnautović,AUT,FW,Inter,Serie A,34,1989,8.9,271.0,264.0,5.0,0.0,3.0,1.0,7,0.0,0.0,0.0,0.0,0.0,203.0,2.0,9.0
